t_ms,vm_soma_mV,vm_far_mV
5,-77.99007609,-81.11110011
5.01,-77.97907072,-81.12171607
5.02,-77.96782326,-81.13097213
5.03,-77.9563448,-81.13899843
5.04,-77.94464591,-81.1459121
5.05,-77.93273664,-81.15181853
5.06,-77.92062655,-81.15681263
5.07,-77.90832474,-81.16097982
5.08,-77.89583986,-81.16439703
5.09,-77.88318011,-81.16713355
5.1,-77.8703533,-81.16925181
5.11,-77.85736684,-81.17080808
5.12,-77.84422776,-81.17185306
5.13,-77.83094271,-81.1724325
5.14,-77.81751803,-81.17258767
5.15,-77.8039597,-81.17235581
5.16,-77.79027339,-81.17177056
5.17,-77.77646448,-81.17086228
5.18,-77.76253806,-81.16965842
5.19,-77.74849892,-81.16818379
5.2,-77.73435163,-81.16646085
5.21,-77.72010048,-81.16450988
5.22,-77.70574954,-81.16234928
5.23,-77.69130266,-81.15999569
5.24,-77.67676346,-81.1574642
5.25,-77.66213537,-81.15476846
5.26,-77.64742163,-81.15192088
5.27,-77.63262528,-81.14893271
5.28,-77.61774921,-81.14581415
5.29,-77.60279613,-81.14257447
5.3,-77.58776862,-81.13922209
5.31,-77.57266909,-81.13576465
5.32,-77.55749981,-81.13220911
5.33,-77.54226294,-81.1285618
5.34,-77.5269605,-81.12482846
5.35,-77.51159441,-81.12101434
5.36,-77.49616646,-81.1171242
5.37,-77.48067835,-81.11316239
5.38,-77.46513168,-81.10913285
5.39,-77.44952795,-81.1050392
5.4,-77.43386859,-81.10088471
5.41,-77.41815494,-81.09667239
5.42,-77.40238826,-81.09240497
5.43,-77.38656973,-81.08808493
5.44,-77.37070048,-81.08371456
5.45,-77.35478156,-81.07929593
5.46,-77.33881398,-81.07483092
5.47,-77.32279868,-81.07032128
5.48,-77.30673654,-81.06576858
5.49,-77.29062839,-81.06117426
5.5,-77.27447504,-81.05653963
5.51,-77.25827723,-81.05186589
5.52,-77.24203566,-81.04715414
5.53,-77.22575099,-81.04240539
5.54,-77.20942387,-81.03762053
5.55,-77.19305488,-81.03280041
5.56,-77.17664458,-81.02794578
5.57,-77.16019351,-81.02305733
5.58,-77.14370218,-81.0181357
5.59,-77.12717107,-81.01318145
5.6,-77.11060061,-81.00819511
5.61,-77.09399126,-81.00317715
5.62,-77.0773434,-80.99812801
5.63,-77.06065744,-80.99304807
5.64,-77.04393374,-80.98793769
5.65,-77.02717265,-80.98279719
5.66,-77.0103745,-80.97762685
5.67,-76.99353961,-80.97242695
5.68,-76.97666828,-80.9671977
5.69,-76.95976081,-80.96193933
5.7,-76.94281746,-80.95665201
5.71,-76.9258385,-80.95133593
5.72,-76.90882419,-80.94599122
5.73,-76.89177476,-80.94061803
5.74,-76.87469045,-80.93521645
5.75,-76.85757147,-80.9297866
