t_ms,vm_soma_mV,vm_far_mV
6.76250,-75.206370,-80.236552
6.77500,-75.178270,-80.224590
6.78750,-75.150111,-80.212558
6.80000,-75.121894,-80.200457
6.81250,-75.093618,-80.188287
6.82500,-75.065285,-80.176047
6.83750,-75.036895,-80.163737
6.85000,-75.008447,-80.151356
6.86250,-74.979942,-80.138906
6.87500,-74.951380,-80.126384
6.88750,-74.922762,-80.113793
6.90000,-74.894087,-80.101130
6.91250,-74.865357,-80.088396
6.92500,-74.836570,-80.075591
6.93750,-74.807728,-80.062715
6.95000,-74.778831,-80.049767
6.96250,-74.749879,-80.036748
6.97500,-74.720872,-80.023657
6.98750,-74.691810,-80.010493
7.00000,-74.662694,-79.997258
7.01250,-74.633524,-79.983950
7.02500,-74.604301,-79.970570
7.03750,-74.575024,-79.957117
7.05000,-74.545694,-79.943591
7.06250,-74.516311,-79.929993
7.07500,-74.486876,-79.916321
7.08750,-74.457388,-79.902576
7.10000,-74.427848,-79.888759
7.11250,-74.398256,-79.874867
7.12500,-74.368613,-79.860902
7.13750,-74.338918,-79.846864
7.15000,-74.309173,-79.832751
7.16250,-74.279377,-79.818565
7.17500,-74.249531,-79.804305
7.18750,-74.219634,-79.789971
7.20000,-74.189688,-79.775562
7.21250,-74.159692,-79.761079
7.22500,-74.129648,-79.746522
7.23750,-74.099554,-79.731890
7.25000,-74.069411,-79.717184
7.26250,-74.039221,-79.702402
7.27500,-74.008982,-79.687546
7.28750,-73.978695,-79.672616
7.30000,-73.948361,-79.657610
7.31250,-73.917980,-79.642529
7.32500,-73.887553,-79.627373
7.33750,-73.857078,-79.612142
7.35000,-73.826557,-79.596836
7.36250,-73.795991,-79.581454
7.37500,-73.765379,-79.565997
7.38750,-73.734721,-79.550465
7.40000,-73.704019,-79.534857
7.41250,-73.673272,-79.519173
7.42500,-73.642480,-79.503414
7.43750,-73.611645,-79.487579
7.45000,-73.580766,-79.471669
7.46250,-73.549843,-79.455683
7.47500,-73.518877,-79.439621
7.48750,-73.487869,-79.423483
7.50000,-73.456818,-79.407270
7.51250,-73.425725,-79.390981
7.52500,-73.394590,-79.374616
7.53750,-73.363414,-79.358175
7.55000,-73.332197,-79.341658
7.56250,-73.300939,-79.325066
7.57500,-73.269641,-79.308397
7.58750,-73.238302,-79.291653
7.60000,-73.206923,-79.274833
7.61250,-73.175506,-79.257937
7.62500,-73.144049,-79.240965
7.63750,-73.112553,-79.223917
7.65000,-73.081019,-79.206793
7.66250,-73.049446,-79.189594
7.67500,-73.017836,-79.172319
7.68750,-72.986189,-79.154968
7.70000,-72.954504,-79.137541
7.71250,-72.922783,-79.120039
7.72500,-72.891025,-79.102461
7.73750,-72.859231,-79.084808
7.75000,-72.827401,-79.067079
7.76250,-72.795536,-79.049274
7.77500,-72.763636,-79.031394
7.78750,-72.731701,-79.013439
7.80000,-72.699731,-78.995408
7.81250,-72.667728,-78.977303
7.82500,-72.635691,-78.959121
7.83750,-72.603621,-78.940865
7.85000,-72.571517,-78.922534
7.86250,-72.539381,-78.904128
7.87500,-72.507213,-78.885647
7.88750,-72.475013,-78.867092
7.90000,-72.442781,-78.848462
7.91250,-72.410518,-78.829757
7.92500,-72.378225,-78.810978
7.93750,-72.345901,-78.792124
7.95000,-72.313546,-78.773196
7.96250,-72.281162,-78.754194
7.97500,-72.248749,-78.735119
7.98750,-72.216307,-78.715969
8.00000,-72.183836,-78.696745
8.01250,-72.151336,-78.677448
8.02500,-72.118809,-78.658078
8.03750,-72.086255,-78.638634
8.05000,-72.053673,-78.619117
8.06250,-72.021064,-78.599527
8.07500,-71.988429,-78.579864
8.08750,-71.955768,-78.560128
8.10000,-71.923081,-78.540320
8.11250,-71.890368,-78.520439
8.12500,-71.857631,-78.500486
8.13750,-71.824869,-78.480461
8.15000,-71.792082,-78.460364
8.16250,-71.759272,-78.440195
8.17500,-71.726438,-78.419955
8.18750,-71.693580,-78.399643
8.20000,-71.660700,-78.379260
8.21250,-71.627797,-78.358806
8.22500,-71.594872,-78.338281
8.23750,-71.561926,-78.317686
8.25000,-71.528958,-78.297020
8.26250,-71.495969,-78.276284
8.27500,-71.462959,-78.255478
8.28750,-71.429929,-78.234602
8.30000,-71.396879,-78.213657
8.31250,-71.363810,-78.192642
8.32500,-71.330722,-78.171558
8.33750,-71.297615,-78.150405
8.35000,-71.264489,-78.129184
8.36250,-71.231346,-78.107894
8.37500,-71.198185,-78.086535
8.38750,-71.165007,-78.065109
8.40000,-71.131812,-78.043615
8.41250,-71.098601,-78.022054
8.42500,-71.065374,-78.000425
8.43750,-71.032131,-77.978729
8.45000,-70.998872,-77.956967
8.46250,-70.965599,-77.935138
8.47500,-70.932311,-77.913243
8.48750,-70.899009,-77.891282
8.50000,-70.865694,-77.869255
8.51250,-70.832364,-77.847163
8.52500,-70.799021,-77.825006
8.53750,-70.765666,-77.802784
8.55000,-70.732298,-77.780497
8.56250,-70.698918,-77.758146
8.57500,-70.665526,-77.735731
8.58750,-70.632123,-77.713253
8.60000,-70.598709,-77.690711
8.61250,-70.565284,-77.668106
8.62500,-70.531849,-77.645438
8.63750,-70.498404,-77.622708
8.65000,-70.464950,-77.599916
8.66250,-70.431487,-77.577062
8.67500,-70.398015,-77.554146
8.68750,-70.364535,-77.531169
8.70000,-70.331047,-77.508131
8.71250,-70.297551,-77.485033
8.72500,-70.264048,-77.461875
8.73750,-70.230539,-77.438656
8.75000,-70.197023,-77.415378
8.76250,-70.163502,-77.392041
8.77500,-70.129974,-77.368645
8.78750,-70.096442,-77.345191
8.80000,-70.062905,-77.321678
8.81250,-70.029363,-77.298107
8.82500,-69.995817,-77.274479
8.83750,-69.962268,-77.250794
8.85000,-69.928715,-77.227052
8.86250,-69.895159,-77.203253
8.87500,-69.861601,-77.179399
8.88750,-69.828040,-77.155488
8.90000,-69.794477,-77.131523
8.91250,-69.760912,-77.107502
8.92500,-69.727346,-77.083427
8.93750,-69.693779,-77.059297
8.95000,-69.660211,-77.035114
8.96250,-69.626642,-77.010877
8.97500,-69.593074,-76.986587
8.98750,-69.559506,-76.962244
9.00000,-69.525939,-76.937849
9.01250,-69.492373,-76.913402
9.02500,-69.458809,-76.888904
9.03750,-69.425247,-76.864354
9.05000,-69.391687,-76.839753
9.06250,-69.358129,-76.815102
9.07500,-69.324575,-76.790401
9.08750,-69.291024,-76.765651
9.10000,-69.257477,-76.740851
9.11250,-69.223934,-76.716002
9.12500,-69.190396,-76.691105
9.13750,-69.156863,-76.666160
9.15000,-69.123335,-76.641168
9.16250,-69.089813,-76.616128
9.17500,-69.056297,-76.591042
9.18750,-69.022787,-76.565909
9.20000,-68.989285,-76.540730
9.21250,-68.955789,-76.515506
9.22500,-68.922301,-76.490237
9.23750,-68.888820,-76.464924
9.25000,-68.855348,-76.439566
9.26250,-68.821883,-76.414164
9.27500,-68.788427,-76.388719
9.28750,-68.754980,-76.363231
9.30000,-68.721542,-76.337700
9.31250,-68.688114,-76.312128
9.32500,-68.654695,-76.286514
9.33750,-68.621286,-76.260858
9.35000,-68.587888,-76.235162
9.36250,-68.554501,-76.209426
9.37500,-68.521125,-76.183650
9.38750,-68.487760,-76.157834
9.40000,-68.454407,-76.131979
9.41250,-68.421067,-76.106086
9.42500,-68.387739,-76.080155
9.43750,-68.354424,-76.054186
9.45000,-68.321122,-76.028179
9.46250,-68.287834,-76.002136
9.47500,-68.254560,-75.976057
9.48750,-68.221300,-75.949942
9.50000,-68.188056,-75.923791
9.51250,-68.154826,-75.897605
9.52500,-68.121612,-75.871385
9.53750,-68.088413,-75.845130
9.55000,-68.055231,-75.818842
9.56250,-68.022065,-75.792521
9.57500,-67.988916,-75.766167
9.58750,-67.955785,-75.739780
9.60000,-67.922670,-75.713362
9.61250,-67.889573,-75.686913
9.62500,-67.856494,-75.660432
9.63750,-67.823433,-75.633921
9.65000,-67.790390,-75.607380
9.66250,-67.757365,-75.580810
9.67500,-67.724359,-75.554210
9.68750,-67.691372,-75.527582
9.70000,-67.658404,-75.500926
9.71250,-67.625455,-75.474242
9.72500,-67.592527,-75.447531
9.73750,-67.559618,-75.420793
9.75000,-67.526730,-75.394029
9.76250,-67.493863,-75.367239
9.77500,-67.461017,-75.340423
9.78750,-67.428192,-75.313583
9.80000,-67.395388,-75.286718
9.81250,-67.362607,-75.259830
9.82500,-67.329849,-75.232918
9.83750,-67.297113,-75.205983
9.85000,-67.264400,-75.179025
9.86250,-67.231710,-75.152045
9.87500,-67.199044,-75.125043
9.88750,-67.166402,-75.098021
9.90000,-67.133785,-75.070977
9.91250,-67.101192,-75.043914
9.92500,-67.068624,-75.016830
9.93750,-67.036082,-74.989727
9.95000,-67.003565,-74.962606
9.96250,-66.971074,-74.935465
9.97500,-66.938609,-74.908307
9.98750,-66.906170,-74.881131
10.00000,-66.873757,-74.853939
10.01250,-66.841371,-74.826729
10.02500,-66.809011,-74.799503
10.03750,-66.776677,-74.772262
10.05000,-66.744371,-74.745005
10.06250,-66.712091,-74.717734
10.07500,-66.679839,-74.690448
10.08750,-66.647614,-74.663148
10.10000,-66.615417,-74.635835
10.11250,-66.583248,-74.608509
10.12500,-66.551107,-74.581170
10.13750,-66.518994,-74.553820
10.15000,-66.486911,-74.526458
10.16250,-66.454856,-74.499084
10.17500,-66.422830,-74.471700
10.18750,-66.390834,-74.444306
10.20000,-66.358868,-74.416902
10.21250,-66.326932,-74.389489
10.22500,-66.295026,-74.362067
10.23750,-66.263152,-74.334636
10.25000,-66.231308,-74.307198
10.26250,-66.199495,-74.279752
10.27500,-66.167715,-74.252299
10.28750,-66.135966,-74.224839
10.30000,-66.104249,-74.197373
10.31250,-66.072564,-74.169902
10.32500,-66.040913,-74.142425
10.33750,-66.009294,-74.114943
10.35000,-65.977708,-74.087457
10.36250,-65.946156,-74.059967
