t_ms,vm_soma_mV,vm_far_mV
4.67,-78.09789787,-77.4334687
4.68,-78.10696639,-77.77372951
4.69,-78.11481537,-78.08852944
4.7,-78.12149855,-78.37891734
4.71,-78.12708201,-78.64606847
4.72,-78.13162504,-78.89120868
4.73,-78.13518404,-79.11563097
4.74,-78.13779953,-79.32061999
4.75,-78.13952977,-79.50748868
4.76,-78.14042188,-79.67751423
4.77,-78.14051027,-79.83195111
4.78,-78.1398321,-79.97201461
4.79,-78.13843386,-80.09885066
4.8,-78.13633827,-80.21355623
4.81,-78.13358781,-80.31716595
4.82,-78.13020958,-80.4106535
4.83,-78.12623359,-80.49491018
4.84,-78.12169832,-80.57077961
4.85,-78.11662318,-80.63902899
4.86,-78.11102435,-80.70036656
4.87,-78.10493488,-80.75545001
4.88,-78.09837311,-80.80485743
4.89,-78.09136211,-80.8491462
4.9,-78.08392854,-80.8888079
4.91,-78.07608763,-80.92428428
4.92,-78.06785865,-80.95599126
4.93,-78.05926025,-80.98428162
4.94,-78.0503115,-81.00949566
4.95,-78.04102724,-81.03193091
4.96,-78.03141393,-81.05186844
4.97,-78.02150018,-81.06954701
4.98,-78.01128661,-81.08517417
4.99,-78.00080344,-81.0989659
5,-77.99006116,-81.11108501
5.01,-77.97906071,-81.1217036
5.02,-77.96781309,-81.13096426
5.03,-77.95633062,-81.13899371
5.04,-77.94463565,-81.14590492
5.05,-77.93273366,-81.15180882
5.06,-77.92062388,-81.15680221
5.07,-77.90831682,-81.16097385
5.08,-77.89583375,-81.1643959
5.09,-77.88317083,-81.16713927
5.1,-77.87034634,-81.16925759
5.11,-77.85736409,-81.1708149
5.12,-77.84422642,-81.17185949
5.13,-77.83094224,-81.17244126
5.14,-77.81751547,-81.17259317
5.15,-77.80395558,-81.17235838
5.16,-77.79026758,-81.17177824
5.17,-77.77646072,-81.17086957
5.18,-77.76254143,-81.16966801
5.19,-77.74850322,-81.16819065
5.2,-77.73435294,-81.1664627
5.21,-77.72009922,-81.16451337
5.22,-77.7057485,-81.16235244
5.23,-77.6912993,-81.15999974
5.24,-77.6767675,-81.15746711
5.25,-77.66213887,-81.15477644
5.26,-77.64742019,-81.1519248
5.27,-77.63262046,-81.14893588
5.28,-77.61774389,-81.14582092
5.29,-77.60279364,-81.14258401
5.3,-77.58776705,-81.13922273
5.31,-77.5726742,-81.1357624
5.32,-77.55749936,-81.1322049
5.33,-77.54226529,-81.12855739
5.34,-77.5269696,-81.12482489
5.35,-77.51160674,-81.12101293
5.36,-77.49617872,-81.11712268
5.37,-77.48069069,-81.11315863
5.38,-77.46514186,-81.10912686
5.39,-77.4495343,-81.10503734
5.4,-77.43387437,-81.10088289
5.41,-77.41816312,-81.09667175
5.42,-77.40240092,-81.09240828
5.43,-77.38657965,-81.0880873
5.44,-77.37071317,-81.08372046
5.45,-77.35479606,-81.07930105
5.46,-77.33882712,-81.07483795
5.47,-77.32280894,-81.07033058
5.48,-77.30674582,-81.06577992
5.49,-77.29064111,-81.0611863
5.5,-77.27448257,-81.05654425
5.51,-77.25828328,-81.05187147
5.52,-77.2420395,-81.0471645
5.53,-77.22575215,-81.04241442
5.54,-77.20942313,-81.03763208
5.55,-77.19306004,-81.03281195
5.56,-77.17664531,-81.02795518
