t_ms,vm_soma_mV,vm_far_mV
7.65000,-73.067719,-79.199757
7.66000,-73.042453,-79.185978
7.67000,-73.017162,-79.172151
7.68000,-72.991847,-79.158276
7.69000,-72.966508,-79.144352
7.70000,-72.941146,-79.130380
7.71000,-72.915761,-79.116359
7.72000,-72.890352,-79.102290
7.73000,-72.864920,-79.088172
7.74000,-72.839465,-79.074006
7.75000,-72.813987,-79.059792
7.76000,-72.788487,-79.045530
7.77000,-72.762965,-79.031219
7.78000,-72.737420,-79.016860
7.79000,-72.711853,-79.002453
7.80000,-72.686264,-78.987998
7.81000,-72.660654,-78.973494
7.82000,-72.635022,-78.958943
7.83000,-72.609369,-78.944343
7.84000,-72.583695,-78.929696
7.85000,-72.558000,-78.915000
7.86000,-72.532284,-78.900257
7.87000,-72.506548,-78.885465
7.88000,-72.480791,-78.870626
7.89000,-72.455014,-78.855739
7.90000,-72.429216,-78.840804
7.91000,-72.403399,-78.825822
7.92000,-72.377563,-78.810792
7.93000,-72.351707,-78.795714
7.94000,-72.325831,-78.780589
7.95000,-72.299936,-78.765417
7.96000,-72.274023,-78.750197
7.97000,-72.248091,-78.734929
7.98000,-72.222140,-78.719615
7.99000,-72.196170,-78.704253
8.00000,-72.170183,-78.688844
8.01000,-72.144178,-78.673388
8.02000,-72.118154,-78.657885
8.03000,-72.092113,-78.642335
8.04000,-72.066055,-78.626738
8.05000,-72.039979,-78.611094
8.06000,-72.013886,-78.595404
8.07000,-71.987777,-78.579667
8.08000,-71.961650,-78.563884
8.09000,-71.935507,-78.548054
8.10000,-71.909348,-78.532177
8.11000,-71.883173,-78.516254
8.12000,-71.856981,-78.500285
8.13000,-71.830774,-78.484270
8.14000,-71.804551,-78.468209
8.15000,-71.778313,-78.452102
8.16000,-71.752060,-78.435949
8.17000,-71.725792,-78.419750
8.18000,-71.699508,-78.403505
8.19000,-71.673211,-78.387215
8.20000,-71.646898,-78.370880
8.21000,-71.620572,-78.354499
8.22000,-71.594231,-78.338072
8.23000,-71.567876,-78.321601
8.24000,-71.541508,-78.305084
8.25000,-71.515126,-78.288522
8.26000,-71.488731,-78.271916
8.27000,-71.462323,-78.255264
8.28000,-71.435902,-78.238568
8.29000,-71.409468,-78.221828
8.30000,-71.383022,-78.205043
8.31000,-71.356563,-78.188214
8.32000,-71.330092,-78.171340
